"OBJECTID","Join_Count","Survey_to_Reef_Dist","TARGET_FID","SPECIES_CD","LIFE_STAGE","PRES","PRES2","N","SOURCE","LON_M","LAT_M","Habitat","Mangrove_Dist","Depth","StDev_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal","OBJECTID_1","Source_1","Zone_","GeoForm","GeoformDet","GeoformD_1","BioCover","BioCoverDe","PercentBio","PercentCor","CMECS_Geo","CMECS_Bio","ClassLv0","ClassLv1","ClassLv2","ClassLv3","ClassLv4","Shape_Leng","POLY_AREA","PERIMETER","PA_Ratio","NEAR_FID","NEAR_DIST","Patch_ID","Coral_Reef_and_Hardbottom","Not_Classified","Seagrass","Unconsolidated_Sediment","Reef_Dist"
11,1,0,46,"HAE SCIU","SUBADULT",1,"PRESENCE",0.5,"REEF VISUAL CENSUS",230585.1482,51172.45573,1,8051.067871,-8.292528152,0.001568799,0.021695647,0.001232147,-0.00054814,-9,-8,1,30.42943954,6.11858654,35.74435043,24.23571587,6.867064476,36.1311264,46,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",169.197941252,2145.89723223698,169.088918489551,0.0787963728874777,1454,2139.19983492868,1440,57736.3696272317,0,48402.6995596442,527700.115846691,3642.45776367188
12,1,0,72,"HAE SCIU","SUBADULT",1,"PRESENCE",3.125,"REEF VISUAL CENSUS",202646.7017,37261.4276,1,7864.726563,-8.218790054,0.130347878,1.834642649,-0.188999176,-0.105761044,-9,64,1.000011444,30.43013,6.119353294,35.72031403,23.80368233,6.886626244,35.95681,72,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Aggregated Patch Reef",NA,NA,NA,NA,NA,"G_B_S_AP","B_R_S__S","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef",605.727691963,16186.2207801573,605.332563705162,0.0373980172349583,1011,21.9614467399074,1012,86183.7236822684,345.643946609794,42721.3527901588,625168.565977411,242.781753540039
13,1,0,86,"HAE SCIU","SUBADULT",1,"PRESENCE",0.5,"REEF VISUAL CENSUS",290346.8525,137172.1165,1,8685.494141,-8.178805351,0.036152374,0.484205633,-0.249549866,-0.142268315,-9,209,1.000011444,30.35960579,6.125076771,35.54617691,23.72870827,6.901839256,35.98951721,86,"SE Florida NSU",NA,"Coral Reef and Colonized Hardbottom","Aggregated Patch Reef","Aggregated Patch Reef-Shallow",NA,NA,NA,NA,"G_B_S_AP_SH","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef (Shallow)",1123.86693257,24885.1287265891,1123.36357080709,0.0451419634252005,8247,34.221726196579,8248,448201.29386541,0,136357.063585241,200837.418139373,5
14,1,0,98,"HAE SCIU","SUBADULT",1,"PRESENCE",1,"REEF VISUAL CENSUS",171576.0297,28146.83079,1,7907.192871,-9.648793221,0.00287623,0.03968377,-0.009353638,-0.002641272,-9,-8,0.99999994,30.43845367,6.095007896,35.51747513,24.15419388,6.906454086,35.98371887,98,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",449.031946792,8366.9436973167,448.995606928508,0.0536630367277961,1053,142.812166219898,974,38196.6559004912,0,0,747199.350374363,3138.05078125
15,1,7.88168510792537,99,"HAE SCIU","SUBADULT",1,"PRESENCE",1.5,"REEF VISUAL CENSUS",171510.1934,28144.74989,5,7934.116699,-9.593432426,0.005915147,0.082636759,-0.00188446,0.001268652,-9,-8,1.000000119,30.43835068,6.095212936,35.51940918,24.15810013,6.905711651,35.98478317,99,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",449.031946792,8366.9436973167,448.995606928508,0.0536630367277961,1053,142.812166219898,974,44050.4711339753,0,0,741345.923926531,3203.05078125
16,1,0,105,"HAE SCIU","SUBADULT",1,"PRESENCE",1,"REEF VISUAL CENSUS",243505.7652,61302.42305,1,7595.452148,-8.104215622,0.015120015,0.20743233,-0.069927216,-0.032553572,-9,64,1.000000715,30.52968979,6.105959415,35.51097488,24.29859352,6.918931484,36.15419006,105,"Keys NOAA","Back Reef","Coral Reef and Hardbottom","Individual Patch Reef",NA,"Algae",NA,"50%-90%","0%-10%","G_B_S_P_I","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef, Algae (Discontinuous)",314.128305662,6497.50760752999,314.046556592255,0.0483333880561071,1106,198.923703361898,1107,115445.098854553,0,38212.8260464896,631738.697777431,3721.93432617188
17,1,2.6128435612681,106,"HAE SCIU","SUBADULT",1,"PRESENCE",2.5,"REEF VISUAL CENSUS",241680.3857,59833.53304,2,8695.979492,-7.880175114,0.0296981,0.415979415,-0.027622223,-0.027536597,-9,64,1.000000358,30.50667,6.107092381,35.52000809,24.34526253,6.902238369,36.15520477,106,"Keys NOAA","Back Reef","Coral Reef and Hardbottom","Individual Patch Reef",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_P_I","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef, Algae (Discontinuous)",283.465565536,3085.25351072136,283.312613633075,0.0918279851715765,1201,63.4202288940634,1202,77681.0256194175,0,0,707715.325934807,1714.06640625
18,1,3.09248061526472,107,"HAE SCIU","SUBADULT",1,"PRESENCE",1.5,"REEF VISUAL CENSUS",241701.5457,59853.53525,2,8667.695313,-7.787581444,0.025547029,0.352603257,0.107717514,0.034294002,-9,64,1.000002146,30.50706863,6.107041836,35.5194397,24.34468269,6.902513027,36.15525818,107,"Keys NOAA","Back Reef","Coral Reef and Hardbottom","Individual Patch Reef",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_P_I","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef, Algae (Discontinuous)",283.465565536,3085.25351072136,283.312613633075,0.0918279851715765,1201,63.4202288940634,1202,83935.5029249861,0,0,701460.210564322,1742.35070800781
19,1,5.10305251004835,112,"HAE SCIU","SUBADULT",1,"PRESENCE",0.5,"REEF VISUAL CENSUS",274005.3772,89867.70734,5,9644.086914,-9.810633659,0.009177231,0.110297732,0.0442276,-0.008565724,-9,64,1.000001311,30.17809486,6.17701149,35.54711533,23.8455925,6.873162746,36.40270996,112,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Aggregated Patch Reef",NA,NA,NA,NA,NA,"G_B_S_AP","B_R_S__S","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef",120.47035482,979.946694970123,120.476021658134,0.122941403115612,5561,226.506045376439,5194,190581.018940979,0,0,594815.358183813,549.472229003906
20,1,5.84565900547431,113,"HAE SCIU","SUBADULT",1,"PRESENCE",2,"REEF VISUAL CENSUS",274022.5549,89861.1542,5,9666.158203,-9.816946983,0.013555844,0.182985038,0.114265442,0.041049093,-9,64,1.000002384,30.17739296,6.177048683,35.54641342,23.84801102,6.873027802,36.4013443,113,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Aggregated Patch Reef",NA,NA,NA,NA,NA,"G_B_S_AP","B_R_S__S","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef",120.47035482,979.946694970123,120.476021658134,0.122941403115612,5561,226.506045376439,5194,201366.633386568,0,0,584029.759163431,535.330078125
21,1,1.06825608509671,117,"HAE SCIU","SUBADULT",1,"PRESENCE",17,"REEF VISUAL CENSUS",281977.6124,110155.359,1,7389.265625,-5.829379559,0.06060363,0.849656105,-0.00743866,-0.029988371,-9,137,1.000000715,30.42516136,6.122489929,35.51097488,23.49634361,6.900051594,36.22356796,117,"Biscayne Bay NPS",NA,"Patch Reefs","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",84.2593079762,521.810036979789,84.2676699975126,0.161491086843116,1662,299.420448246354,2831,512737.698688384,0,186926.529218997,85732.2606723721,2113.6396484375
22,1,1.06825608509671,118,"HAE SCIU","SUBADULT",1,"PRESENCE",6.5,"REEF VISUAL CENSUS",281977.6124,110155.359,1,7389.265625,-5.829379559,0.06060363,0.849656105,-0.00743866,-0.029988371,-9,137,1.000000715,30.42516136,6.122489929,35.51097488,23.49634361,6.900051594,36.22356796,118,"Biscayne Bay NPS",NA,"Patch Reefs","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",84.2593079762,521.810036979789,84.2676699975126,0.161491086843116,1662,299.420448246354,2831,512737.698688384,0,186926.529218997,85732.2606723721,2113.6396484375
23,1,0,132,"HAE SCIU","SUBADULT",1,"PRESENCE",0.5,"REEF VISUAL CENSUS",226463.4574,49247.72144,1,6966.717285,-6.329155445,0.051711425,0.7210235,0.089221954,0.07502389,-9,137,1.000002027,30.49435616,6.109367847,35.57600021,24.15499115,6.886511326,36.10660934,132,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1113.64898543,39542.35177218,1114.06414858171,0.0281739476448012,1434,87.4184316884623,1435,220030.930860781,0,405238.301878436,160126.420636522,1327.73120117188
24,1,0,133,"HAE SCIU","SUBADULT",1,"PRESENCE",1,"REEF VISUAL CENSUS",202939.8978,38771.16705,1,6476.919434,-4.85252142,0.03816301,0.522171974,0.048355103,0.005187101,-9,137,1.000005603,30.45915222,6.123058796,35.84980392,23.77970123,6.883589268,36.04527664,133,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1002.73072473,62652.3478132999,1002.53567624893,0.0160015659626423,1080,947.994408562875,1010,111879.957910239,0,509082.839769312,164433.439273925,175.563491821289
25,1,0,147,"HAE SCIU","SUBADULT",1,"PRESENCE",0.5,"REEF VISUAL CENSUS",202995.5939,38607.25166,1,6664.701172,-6.13199234,0.035329312,0.48780635,-0.159030914,-0.071341828,-9,64,1.000004172,30.45314598,6.123583794,35.84647751,23.7867012,6.881698608,36.04255295,147,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1002.73072473,62652.3478132999,1002.53567624893,0.0160015659626423,1080,947.994408562875,1010,102010.575899615,0,442393.430696037,240991.864217893,275.918823242188
26,1,0,154,"HAE SCIU","SUBADULT",1,"PRESENCE",36.5,"REEF VISUAL CENSUS",202725.3799,38623.81025,1,6532.86377,-5.72088623,0.064398438,0.901890337,-0.07550621,-0.047554225,-9,64,1.00000155,30.4596138,6.121923923,35.82283783,23.77536392,6.886845589,36.03269958,154,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1002.73072473,62652.3478132999,1002.53567624893,0.0160015659626423,1080,947.994408562875,1010,69696.5256200634,0,365483.838912121,350215.860620004,450.624450683594
27,1,0,160,"HAE SCIU","SUBADULT",1,"PRESENCE",31,"REEF VISUAL CENSUS",202939.9285,38626.06925,1,6621.919434,-5.694669247,0.054841753,0.769192398,0.036495209,0.040556006,-9,64,1.000000477,30.45489311,6.123247147,35.84285736,23.7838974,6.882787704,36.0411377,160,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1002.73072473,62652.3478132999,1002.53567624893,0.0160015659626423,1080,947.994408562875,1010,96295.8529495966,0,437299.28086959,251801.265535083,278.700592041016
28,1,0,161,"HAE SCIU","SUBADULT",1,"PRESENCE",16.5,"REEF VISUAL CENSUS",202920.7017,38618.31188,1,6623.635254,-5.747258663,0.040981181,0.564775229,0.151615143,0.026214119,-9,64,1.000005364,30.45503235,6.123140335,35.84061432,23.78337669,6.88310051,36.04007721,161,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1002.73072473,62652.3478132999,1002.53567624893,0.0160015659626423,1080,947.994408562875,1010,93137.4915198369,0,426053.047726736,266205.305925039,296.98486328125
29,1,0,169,"HAE SCIU","SUBADULT",1,"PRESENCE",20,"REEF VISUAL CENSUS",271097.2473,89491.05656,1,6894.41748,-3.195545435,0.036121327,0.505696952,-0.019510269,-0.013140553,1220,282,1.000001431,30.24569511,6.168270111,35.6137619,23.55435562,6.890717983,36.45471191,169,"Keys NOAA","Lagoon","Coral Reef and Hardbottom","Aggregated Patch Reefs",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_AP","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef, Algae (Discontinuous)",966.413030082,43144.4322389879,966.507519176049,0.0224016743069493,5159,45.0187443483997,5160,344070.590831452,0,185793.840881731,255531.624824166,523.259033203125
30,1,0,170,"HAE SCIU","SUBADULT",1,"PRESENCE",3.5,"REEF VISUAL CENSUS",271079.0044,89508.68549,1,6866.133301,-3.284007072,0.03629297,0.494400024,-0.06069088,0.036290426,605,209,1.000004292,30.24751663,6.167890072,35.6146431,23.55169106,6.890901089,36.45400238,170,"Keys NOAA","Lagoon","Coral Reef and Hardbottom","Aggregated Patch Reefs",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_AP","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef, Algae (Discontinuous)",966.413030082,43144.4322389879,966.507519176049,0.0224016743069493,5159,45.0187443483997,5160,356464.211079869,0,176889.786524879,252041.819263381,551.543273925781
31,1,0,171,"HAE SCIU","SUBADULT",1,"PRESENCE",1,"REEF VISUAL CENSUS",271011.4723,89310.0421,1,6878.975586,-6.536180496,0.093056403,1.227626562,0.70822525,0.377901435,605,-8,1.000068545,30.23906517,6.169476986,35.60723877,23.55307579,6.890999794,36.45357132,171,"Keys NOAA","Lagoon","Coral Reef and Hardbottom","Aggregated Patch Reefs",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_AP","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef, Algae (Discontinuous)",966.413030082,43144.4322389879,966.507519176049,0.0224016743069493,5159,45.0187443483997,5160,275229.65952304,0,232878.279179377,277288.443238469,509.411254882812
32,1,0,172,"HAE SCIU","SUBADULT",1,"PRESENCE",1.5,"REEF VISUAL CENSUS",270992.9922,89373.08841,1,6839.123047,-5.585541248,0.114402756,1.60881722,-0.82715416,-0.356153339,-9,64,1.000078917,30.24292755,6.168708801,35.60944366,23.54938889,6.891229153,36.45273209,172,"Keys NOAA","Lagoon","Coral Reef and Hardbottom","Aggregated Patch Reefs",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_AP","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef, Algae (Discontinuous)",966.413030082,43144.4322389879,966.507519176049,0.0224016743069493,5159,45.0187443483997,5160,325806.130519957,0,210169.809034274,249420.390587999,549.264099121094
33,1,0,173,"HAE SCIU","SUBADULT",1,"PRESENCE",1,"REEF VISUAL CENSUS",271428.6528,90709.12522,1,6719.07666,-5.85136652,0.726473629,10.17045307,0.389720917,0.268972248,605,64,1.000096321,30.29759979,6.157736301,35.67622375,23.52911377,6.891281605,36.44906998,173,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",328.87005761,6658.53652540882,328.869441654715,0.0493906491914187,5155,2.24517573019362,5156,287616.162959405,0,59976.7013821812,437803.897972018,1446.33508300781
34,1,0,174,"HAE SCIU","SUBADULT",1,"PRESENCE",8.875,"REEF VISUAL CENSUS",271441.5331,90752.396,1,6712.508301,-5.612519264,0.45667851,6.312660694,2.252063751,1.311053634,605,64,1.000826836,30.29924583,6.157372475,35.67855072,23.52796745,6.8913517,36.44862366,174,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",328.87005761,6658.53652540882,328.869441654715,0.0493906491914187,5155,2.24517573019362,5156,277498.629730316,0,72013.2024123643,435883.847036062,1482.19299316406
